Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.8287966251373291,0.5278677940368652,0.8790140748023987,0.3556063175201416
2,0.8952743411064148,0.3065674304962158,0.8983710408210754,0.30114394426345825
3,0.9119714498519897,0.2559952437877655,0.90061354637146,0.2885560095310211
4,0.9226498007774353,0.220325767993927,0.9124082922935486,0.26085975766181946
5,0.9278919100761414,0.20062315464019775,0.9129907488822937,0.2516810894012451
6,0.9350755214691162,0.1829254925251007,0.9173785448074341,0.24746516346931458
7,0.9380266666412354,0.17054010927677155,0.920135498046875,0.2419573813676834
8,0.9456374049186707,0.15470139682292938,0.921873152256012,0.23717480897903442
9,0.9491709470748901,0.143964022397995,0.9245039224624634,0.2268911898136139
10,0.9514619708061218,0.13326261937618256,0.923290491104126,0.24593864381313324
11,0.9571312069892883,0.12210538238286972,0.9301149249076843,0.21686984598636627
12,0.9596551656723022,0.11341807246208191,0.9273094534873962,0.2406846582889557
13,0.9595775008201599,0.10749155282974243,0.929085910320282,0.23554033041000366
14,0.9650138020515442,0.09647104144096375,0.9260863065719604,0.24955308437347412
15,0.968858003616333,0.0860552042722702,0.923523485660553,0.2571747601032257
16,0.9680037498474121,0.0912913903594017,0.9242224097251892,0.25548988580703735
17,0.9663340449333191,0.09153678268194199,0.9228924512863159,0.2774825096130371
18,0.9746049046516418,0.07092474400997162,0.9337164759635925,0.2442811131477356
19,0.9749155640602112,0.06925297528505325,0.9262415766716003,0.2795649468898773
20,0.9737117886543274,0.07309085875749588,0.9291053414344788,0.2644539177417755
