Epoch 1: Accuracy=0.8287966251373291, Loss=0.5278677940368652, Val Accuracy=0.8790140748023987, Val Loss=0.3556063175201416
Epoch 2: Accuracy=0.8952743411064148, Loss=0.3065674304962158, Val Accuracy=0.8983710408210754, Val Loss=0.30114394426345825
Epoch 3: Accuracy=0.9119714498519897, Loss=0.2559952437877655, Val Accuracy=0.90061354637146, Val Loss=0.2885560095310211
Epoch 4: Accuracy=0.9226498007774353, Loss=0.220325767993927, Val Accuracy=0.9124082922935486, Val Loss=0.26085975766181946
Epoch 5: Accuracy=0.9278919100761414, Loss=0.20062315464019775, Val Accuracy=0.9129907488822937, Val Loss=0.2516810894012451
Epoch 6: Accuracy=0.9350755214691162, Loss=0.1829254925251007, Val Accuracy=0.9173785448074341, Val Loss=0.24746516346931458
Epoch 7: Accuracy=0.9380266666412354, Loss=0.17054010927677155, Val Accuracy=0.920135498046875, Val Loss=0.2419573813676834
Epoch 8: Accuracy=0.9456374049186707, Loss=0.15470139682292938, Val Accuracy=0.921873152256012, Val Loss=0.23717480897903442
Epoch 9: Accuracy=0.9491709470748901, Loss=0.143964022397995, Val Accuracy=0.9245039224624634, Val Loss=0.2268911898136139
Epoch 10: Accuracy=0.9514619708061218, Loss=0.13326261937618256, Val Accuracy=0.923290491104126, Val Loss=0.24593864381313324
Epoch 11: Accuracy=0.9571312069892883, Loss=0.12210538238286972, Val Accuracy=0.9301149249076843, Val Loss=0.21686984598636627
Epoch 12: Accuracy=0.9596551656723022, Loss=0.11341807246208191, Val Accuracy=0.9273094534873962, Val Loss=0.2406846582889557
Epoch 13: Accuracy=0.9595775008201599, Loss=0.10749155282974243, Val Accuracy=0.929085910320282, Val Loss=0.23554033041000366
Epoch 14: Accuracy=0.9650138020515442, Loss=0.09647104144096375, Val Accuracy=0.9260863065719604, Val Loss=0.24955308437347412
Epoch 15: Accuracy=0.968858003616333, Loss=0.0860552042722702, Val Accuracy=0.923523485660553, Val Loss=0.2571747601032257
Epoch 16: Accuracy=0.9680037498474121, Loss=0.0912913903594017, Val Accuracy=0.9242224097251892, Val Loss=0.25548988580703735
Epoch 17: Accuracy=0.9663340449333191, Loss=0.09153678268194199, Val Accuracy=0.9228924512863159, Val Loss=0.2774825096130371
Epoch 18: Accuracy=0.9746049046516418, Loss=0.07092474400997162, Val Accuracy=0.9337164759635925, Val Loss=0.2442811131477356
Epoch 19: Accuracy=0.9749155640602112, Loss=0.06925297528505325, Val Accuracy=0.9262415766716003, Val Loss=0.2795649468898773
Epoch 20: Accuracy=0.9737117886543274, Loss=0.07309085875749588, Val Accuracy=0.9291053414344788, Val Loss=0.2644539177417755
