Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.8587757349014282,0.4463217258453369,0.8930997848510742,0.3356706202030182
2,0.9061521887779236,0.2717285454273224,0.9122688174247742,0.2633865773677826
3,0.9213840365409851,0.2283799648284912,0.9184882044792175,0.2391270101070404
4,0.9302024841308594,0.20037515461444855,0.9233241081237793,0.22806009650230408
5,0.9363572597503662,0.1834646463394165,0.9303581118583679,0.20531275868415833
6,0.9413225054740906,0.16711990535259247,0.9315088987350464,0.20451857149600983
7,0.9468308091163635,0.14843790233135223,0.9326467514038086,0.20163306593894958
8,0.9485893249511719,0.14188265800476074,0.9357047080993652,0.19170573353767395
9,0.9531407356262207,0.12925118207931519,0.9373985528945923,0.191280335187912
10,0.955933690071106,0.12167253345251083,0.9376959800720215,0.19652563333511353
11,0.9603816866874695,0.11145666986703873,0.9371011853218079,0.20106010138988495
12,0.9622436761856079,0.10337192565202713,0.9398682713508606,0.19001345336437225
13,0.9659417271614075,0.09593566507101059,0.9386528134346008,0.20241431891918182
14,0.9666916728019714,0.09221568703651428,0.9323040843009949,0.22494660317897797
15,0.9693552851676941,0.0845516175031662,0.9392992854118347,0.20571964979171753
16,0.9715793132781982,0.08146367222070694,0.9368942975997925,0.22155243158340454
17,0.9740360379219055,0.07340241223573685,0.9381614327430725,0.21477998793125153
18,0.974010169506073,0.0737013965845108,0.9368554949760437,0.23138085007667542
19,0.9744756817817688,0.07190658152103424,0.9402432441711426,0.22100116312503815
20,0.9776048064231873,0.06279979646205902,0.9402819871902466,0.21876239776611328
