Epoch 1: Accuracy=0.8587757349014282, Loss=0.4463217258453369, Val Accuracy=0.8930997848510742, Val Loss=0.3356706202030182
Epoch 2: Accuracy=0.9061521887779236, Loss=0.2717285454273224, Val Accuracy=0.9122688174247742, Val Loss=0.2633865773677826
Epoch 3: Accuracy=0.9213840365409851, Loss=0.2283799648284912, Val Accuracy=0.9184882044792175, Val Loss=0.2391270101070404
Epoch 4: Accuracy=0.9302024841308594, Loss=0.20037515461444855, Val Accuracy=0.9233241081237793, Val Loss=0.22806009650230408
Epoch 5: Accuracy=0.9363572597503662, Loss=0.1834646463394165, Val Accuracy=0.9303581118583679, Val Loss=0.20531275868415833
Epoch 6: Accuracy=0.9413225054740906, Loss=0.16711990535259247, Val Accuracy=0.9315088987350464, Val Loss=0.20451857149600983
Epoch 7: Accuracy=0.9468308091163635, Loss=0.14843790233135223, Val Accuracy=0.9326467514038086, Val Loss=0.20163306593894958
Epoch 8: Accuracy=0.9485893249511719, Loss=0.14188265800476074, Val Accuracy=0.9357047080993652, Val Loss=0.19170573353767395
Epoch 9: Accuracy=0.9531407356262207, Loss=0.12925118207931519, Val Accuracy=0.9373985528945923, Val Loss=0.191280335187912
Epoch 10: Accuracy=0.955933690071106, Loss=0.12167253345251083, Val Accuracy=0.9376959800720215, Val Loss=0.19652563333511353
Epoch 11: Accuracy=0.9603816866874695, Loss=0.11145666986703873, Val Accuracy=0.9371011853218079, Val Loss=0.20106010138988495
Epoch 12: Accuracy=0.9622436761856079, Loss=0.10337192565202713, Val Accuracy=0.9398682713508606, Val Loss=0.19001345336437225
Epoch 13: Accuracy=0.9659417271614075, Loss=0.09593566507101059, Val Accuracy=0.9386528134346008, Val Loss=0.20241431891918182
Epoch 14: Accuracy=0.9666916728019714, Loss=0.09221568703651428, Val Accuracy=0.9323040843009949, Val Loss=0.22494660317897797
Epoch 15: Accuracy=0.9693552851676941, Loss=0.0845516175031662, Val Accuracy=0.9392992854118347, Val Loss=0.20571964979171753
Epoch 16: Accuracy=0.9715793132781982, Loss=0.08146367222070694, Val Accuracy=0.9368942975997925, Val Loss=0.22155243158340454
Epoch 17: Accuracy=0.9740360379219055, Loss=0.07340241223573685, Val Accuracy=0.9381614327430725, Val Loss=0.21477998793125153
Epoch 18: Accuracy=0.974010169506073, Loss=0.0737013965845108, Val Accuracy=0.9368554949760437, Val Loss=0.23138085007667542
Epoch 19: Accuracy=0.9744756817817688, Loss=0.07190658152103424, Val Accuracy=0.9402432441711426, Val Loss=0.22100116312503815
Epoch 20: Accuracy=0.9776048064231873, Loss=0.06279979646205902, Val Accuracy=0.9402819871902466, Val Loss=0.21876239776611328
