Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.9514476656913757,0.2195681780576706,0.8961500525474548,0.5026162266731262
2,0.9483296275138855,0.22447502613067627,0.9880896210670471,0.05040830001235008
3,0.9848552346229553,0.037530090659856796,0.9939403533935547,0.02819124422967434
4,0.9977728128433228,0.009027842432260513,0.9933134913444519,0.032498110085725784
5,0.9986637234687805,0.01048519928008318,0.9931045174598694,0.03227949142456055
6,0.9995545744895935,0.006351475603878498,0.9945149421691895,0.028521819040179253
7,1.0,0.0007289389031939209,0.9948284029960632,0.028857842087745667
8,1.0,0.00046647025737911463,0.9949328899383545,0.02859972044825554
9,1.0,0.0003943561459891498,0.9950373768806458,0.029235925525426865
10,1.0,0.00032693904358893633,0.9950373768806458,0.029504595324397087
11,1.0,0.0002839698863681406,0.995089590549469,0.029776209965348244
12,1.0,0.00025136262411251664,0.995089590549469,0.029923604801297188
13,1.0,0.00023496309586334974,0.9950373768806458,0.030219120904803276
14,1.0,0.0002013699122471735,0.9950373768806458,0.030444646254181862
15,1.0,0.00018802315753418952,0.9950373768806458,0.03054429031908512
16,1.0,0.00017130514606833458,0.995089590549469,0.030749214813113213
17,1.0,0.0001582102559041232,0.9950373768806458,0.03112580068409443
18,1.0,0.00014934097998775542,0.9950373768806458,0.03125842660665512
19,1.0,0.00013708818005397916,0.9951418042182922,0.031403686851263046
20,1.0,0.00012496582348830998,0.995089590549469,0.03153248876333237
