Epoch 1: Accuracy=0.9514476656913757, Loss=0.2195681780576706, Val Accuracy=0.8961500525474548, Val Loss=0.5026162266731262
Epoch 2: Accuracy=0.9483296275138855, Loss=0.22447502613067627, Val Accuracy=0.9880896210670471, Val Loss=0.05040830001235008
Epoch 3: Accuracy=0.9848552346229553, Loss=0.037530090659856796, Val Accuracy=0.9939403533935547, Val Loss=0.02819124422967434
Epoch 4: Accuracy=0.9977728128433228, Loss=0.009027842432260513, Val Accuracy=0.9933134913444519, Val Loss=0.032498110085725784
Epoch 5: Accuracy=0.9986637234687805, Loss=0.01048519928008318, Val Accuracy=0.9931045174598694, Val Loss=0.03227949142456055
Epoch 6: Accuracy=0.9995545744895935, Loss=0.006351475603878498, Val Accuracy=0.9945149421691895, Val Loss=0.028521819040179253
Epoch 7: Accuracy=1.0, Loss=0.0007289389031939209, Val Accuracy=0.9948284029960632, Val Loss=0.028857842087745667
Epoch 8: Accuracy=1.0, Loss=0.00046647025737911463, Val Accuracy=0.9949328899383545, Val Loss=0.02859972044825554
Epoch 9: Accuracy=1.0, Loss=0.0003943561459891498, Val Accuracy=0.9950373768806458, Val Loss=0.029235925525426865
Epoch 10: Accuracy=1.0, Loss=0.00032693904358893633, Val Accuracy=0.9950373768806458, Val Loss=0.029504595324397087
Epoch 11: Accuracy=1.0, Loss=0.0002839698863681406, Val Accuracy=0.995089590549469, Val Loss=0.029776209965348244
Epoch 12: Accuracy=1.0, Loss=0.00025136262411251664, Val Accuracy=0.995089590549469, Val Loss=0.029923604801297188
Epoch 13: Accuracy=1.0, Loss=0.00023496309586334974, Val Accuracy=0.9950373768806458, Val Loss=0.030219120904803276
Epoch 14: Accuracy=1.0, Loss=0.0002013699122471735, Val Accuracy=0.9950373768806458, Val Loss=0.030444646254181862
Epoch 15: Accuracy=1.0, Loss=0.00018802315753418952, Val Accuracy=0.9950373768806458, Val Loss=0.03054429031908512
Epoch 16: Accuracy=1.0, Loss=0.00017130514606833458, Val Accuracy=0.995089590549469, Val Loss=0.030749214813113213
Epoch 17: Accuracy=1.0, Loss=0.0001582102559041232, Val Accuracy=0.9950373768806458, Val Loss=0.03112580068409443
Epoch 18: Accuracy=1.0, Loss=0.00014934097998775542, Val Accuracy=0.9950373768806458, Val Loss=0.03125842660665512
Epoch 19: Accuracy=1.0, Loss=0.00013708818005397916, Val Accuracy=0.9951418042182922, Val Loss=0.031403686851263046
Epoch 20: Accuracy=1.0, Loss=0.00012496582348830998, Val Accuracy=0.995089590549469, Val Loss=0.03153248876333237
