Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.8843311071395874,0.3741535246372223,0.9406983256340027,0.15909749269485474
2,0.9449371695518494,0.1381833702325821,0.9244411587715149,0.1823016256093979
3,0.9550997614860535,0.10641587525606155,0.9293829798698425,0.16787537932395935
4,0.9672948718070984,0.08349015563726425,0.9680860638618469,0.0854995921254158
5,0.9684035181999207,0.07838399708271027,0.9690098166465759,0.084772489964962
6,0.9719142913818359,0.0692930594086647,0.9695640206336975,0.08374777436256409
7,0.9774575233459473,0.061481427401304245,0.9710881114006042,0.07285980880260468
8,0.9717295169830322,0.06848762929439545,0.9521983861923218,0.12996362149715424
9,0.9778270721435547,0.059957537800073624,0.9691483378410339,0.08626053482294083
10,0.9813377857208252,0.048485592007637024,0.9654996991157532,0.09217695146799088
11,0.98207688331604,0.049397554248571396,0.9603731632232666,0.1155705600976944
12,0.9809682369232178,0.04745619744062424,0.9766303300857544,0.06494688987731934
13,0.9807834625244141,0.05182595178484917,0.9541381597518921,0.1270509660243988
14,0.9830007553100586,0.04532541334629059,0.9637908935546875,0.101018987596035
15,0.9839246273040771,0.04340989142656326,0.9791243076324463,0.06184493005275726
16,0.9844789505004883,0.044160448014736176,0.9664234519004822,0.09363903850317001
17,0.9796748161315918,0.05786370113492012,0.9769074320793152,0.0666324570775032
18,0.9852180480957031,0.0419500395655632,0.976999819278717,0.06561099737882614
19,0.9889135360717773,0.03202231973409653,0.9806946516036987,0.05619155988097191
20,0.990391731262207,0.027422266080975533,0.9800480604171753,0.06079748272895813
