Epoch 1: Accuracy=0.8843311071395874, Loss=0.3741535246372223, Val Accuracy=0.9406983256340027, Val Loss=0.15909749269485474
Epoch 2: Accuracy=0.9449371695518494, Loss=0.1381833702325821, Val Accuracy=0.9244411587715149, Val Loss=0.1823016256093979
Epoch 3: Accuracy=0.9550997614860535, Loss=0.10641587525606155, Val Accuracy=0.9293829798698425, Val Loss=0.16787537932395935
Epoch 4: Accuracy=0.9672948718070984, Loss=0.08349015563726425, Val Accuracy=0.9680860638618469, Val Loss=0.0854995921254158
Epoch 5: Accuracy=0.9684035181999207, Loss=0.07838399708271027, Val Accuracy=0.9690098166465759, Val Loss=0.084772489964962
Epoch 6: Accuracy=0.9719142913818359, Loss=0.0692930594086647, Val Accuracy=0.9695640206336975, Val Loss=0.08374777436256409
Epoch 7: Accuracy=0.9774575233459473, Loss=0.061481427401304245, Val Accuracy=0.9710881114006042, Val Loss=0.07285980880260468
Epoch 8: Accuracy=0.9717295169830322, Loss=0.06848762929439545, Val Accuracy=0.9521983861923218, Val Loss=0.12996362149715424
Epoch 9: Accuracy=0.9778270721435547, Loss=0.059957537800073624, Val Accuracy=0.9691483378410339, Val Loss=0.08626053482294083
Epoch 10: Accuracy=0.9813377857208252, Loss=0.048485592007637024, Val Accuracy=0.9654996991157532, Val Loss=0.09217695146799088
Epoch 11: Accuracy=0.98207688331604, Loss=0.049397554248571396, Val Accuracy=0.9603731632232666, Val Loss=0.1155705600976944
Epoch 12: Accuracy=0.9809682369232178, Loss=0.04745619744062424, Val Accuracy=0.9766303300857544, Val Loss=0.06494688987731934
Epoch 13: Accuracy=0.9807834625244141, Loss=0.05182595178484917, Val Accuracy=0.9541381597518921, Val Loss=0.1270509660243988
Epoch 14: Accuracy=0.9830007553100586, Loss=0.04532541334629059, Val Accuracy=0.9637908935546875, Val Loss=0.101018987596035
Epoch 15: Accuracy=0.9839246273040771, Loss=0.04340989142656326, Val Accuracy=0.9791243076324463, Val Loss=0.06184493005275726
Epoch 16: Accuracy=0.9844789505004883, Loss=0.044160448014736176, Val Accuracy=0.9664234519004822, Val Loss=0.09363903850317001
Epoch 17: Accuracy=0.9796748161315918, Loss=0.05786370113492012, Val Accuracy=0.9769074320793152, Val Loss=0.0666324570775032
Epoch 18: Accuracy=0.9852180480957031, Loss=0.0419500395655632, Val Accuracy=0.976999819278717, Val Loss=0.06561099737882614
Epoch 19: Accuracy=0.9889135360717773, Loss=0.03202231973409653, Val Accuracy=0.9806946516036987, Val Loss=0.05619155988097191
Epoch 20: Accuracy=0.990391731262207, Loss=0.027422266080975533, Val Accuracy=0.9800480604171753, Val Loss=0.06079748272895813
