Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.6531291604042053,1.257839322090149,0.7701264023780823,0.8975657224655151
2,0.8608521819114685,0.44027969241142273,0.8893879055976868,0.3923731744289398
3,0.9247669577598572,0.23172114789485931,0.9146706461906433,0.3247632682323456
4,0.9607190489768982,0.13444438576698303,0.9414504170417786,0.22404436767101288
5,0.964047908782959,0.10771090537309647,0.9404524564743042,0.2300402820110321
6,0.9653794765472412,0.12992902100086212,0.9437791109085083,0.22514736652374268
7,0.9806923866271973,0.11481836438179016,0.955921471118927,0.17396143078804016
8,0.9780293107032776,0.10265197604894638,0.9472721219062805,0.2398120015859604
9,0.9853528738021851,0.079281747341156,0.9482701420783997,0.2148914486169815
10,0.9886817336082458,0.04335210472345352,0.9607451558113098,0.16859138011932373
11,0.9913448691368103,0.02917657233774662,0.9645708799362183,0.16356757283210754
12,0.9913448691368103,0.024991555139422417,0.9655688405036926,0.17312251031398773
13,0.9966710805892944,0.0178977157920599,0.9687291979789734,0.14987200498580933
14,0.9960052967071533,0.015484279952943325,0.9660678505897522,0.1557575762271881
15,0.9973368644714355,0.014062176458537579,0.9667332172393799,0.1556861698627472
16,0.995339572429657,0.013970733620226383,0.9675648808479309,0.16287565231323242
17,0.9973368644714355,0.012294024229049683,0.9673985242843628,0.16230522096157074
18,0.9993342161178589,0.005332131404429674,0.9673985242843628,0.16123375296592712
19,0.9993342161178589,0.004290456883609295,0.9698935747146606,0.1582225263118744
20,1.0,0.004567010328173637,0.9690618515014648,0.16153036057949066
