Epoch 1: Accuracy=0.6531291604042053, Loss=1.257839322090149, Val Accuracy=0.7701264023780823, Val Loss=0.8975657224655151
Epoch 2: Accuracy=0.8608521819114685, Loss=0.44027969241142273, Val Accuracy=0.8893879055976868, Val Loss=0.3923731744289398
Epoch 3: Accuracy=0.9247669577598572, Loss=0.23172114789485931, Val Accuracy=0.9146706461906433, Val Loss=0.3247632682323456
Epoch 4: Accuracy=0.9607190489768982, Loss=0.13444438576698303, Val Accuracy=0.9414504170417786, Val Loss=0.22404436767101288
Epoch 5: Accuracy=0.964047908782959, Loss=0.10771090537309647, Val Accuracy=0.9404524564743042, Val Loss=0.2300402820110321
Epoch 6: Accuracy=0.9653794765472412, Loss=0.12992902100086212, Val Accuracy=0.9437791109085083, Val Loss=0.22514736652374268
Epoch 7: Accuracy=0.9806923866271973, Loss=0.11481836438179016, Val Accuracy=0.955921471118927, Val Loss=0.17396143078804016
Epoch 8: Accuracy=0.9780293107032776, Loss=0.10265197604894638, Val Accuracy=0.9472721219062805, Val Loss=0.2398120015859604
Epoch 9: Accuracy=0.9853528738021851, Loss=0.079281747341156, Val Accuracy=0.9482701420783997, Val Loss=0.2148914486169815
Epoch 10: Accuracy=0.9886817336082458, Loss=0.04335210472345352, Val Accuracy=0.9607451558113098, Val Loss=0.16859138011932373
Epoch 11: Accuracy=0.9913448691368103, Loss=0.02917657233774662, Val Accuracy=0.9645708799362183, Val Loss=0.16356757283210754
Epoch 12: Accuracy=0.9913448691368103, Loss=0.024991555139422417, Val Accuracy=0.9655688405036926, Val Loss=0.17312251031398773
Epoch 13: Accuracy=0.9966710805892944, Loss=0.0178977157920599, Val Accuracy=0.9687291979789734, Val Loss=0.14987200498580933
Epoch 14: Accuracy=0.9960052967071533, Loss=0.015484279952943325, Val Accuracy=0.9660678505897522, Val Loss=0.1557575762271881
Epoch 15: Accuracy=0.9973368644714355, Loss=0.014062176458537579, Val Accuracy=0.9667332172393799, Val Loss=0.1556861698627472
Epoch 16: Accuracy=0.995339572429657, Loss=0.013970733620226383, Val Accuracy=0.9675648808479309, Val Loss=0.16287565231323242
Epoch 17: Accuracy=0.9973368644714355, Loss=0.012294024229049683, Val Accuracy=0.9673985242843628, Val Loss=0.16230522096157074
Epoch 18: Accuracy=0.9993342161178589, Loss=0.005332131404429674, Val Accuracy=0.9673985242843628, Val Loss=0.16123375296592712
Epoch 19: Accuracy=0.9993342161178589, Loss=0.004290456883609295, Val Accuracy=0.9698935747146606, Val Loss=0.1582225263118744
Epoch 20: Accuracy=1.0, Loss=0.004567010328173637, Val Accuracy=0.9690618515014648, Val Loss=0.16153036057949066
