Epoch,Training Accuracy,Training Loss,Validation Accuracy,Validation Loss
1,0.8747058510780334,0.4093915522098541,0.9131028056144714,0.2538408935070038
2,0.9209961295127869,0.23575277626514435,0.9250890612602234,0.2217268943786621
3,0.9331764578819275,0.19517460465431213,0.9246817827224731,0.2179884910583496
4,0.9422534704208374,0.16645072400569916,0.9393704533576965,0.17913596332073212
5,0.9479169249534607,0.14727145433425903,0.9434434175491333,0.16476693749427795
6,0.9531407356262207,0.13446541130542755,0.942965030670166,0.1699172705411911
7,0.9585973024368286,0.11759376525878906,0.947762131690979,0.15240803360939026
8,0.9617781639099121,0.10738116502761841,0.9411935806274414,0.17859281599521637
9,0.9641314744949341,0.10273972898721695,0.9405664801597595,0.18384139239788055
10,0.967519223690033,0.09212860465049744,0.9436179995536804,0.17622429132461548
11,0.9695104360580444,0.08678115159273148,0.9465984106063843,0.16263118386268616
12,0.9705707430839539,0.07919833064079285,0.9471673369407654,0.18248195946216583
13,0.974863588809967,0.07024010270833969,0.952669084072113,0.15324780344963074
14,0.9749411940574646,0.0677550733089447,0.9519385695457458,0.16130442917346954
15,0.9776048064231873,0.06411085277795792,0.9503417015075684,0.17448966205120087
16,0.9772944450378418,0.063520647585392,0.9540073871612549,0.15533408522605896
17,0.9798287749290466,0.05739472806453705,0.9507425427436829,0.17249493300914764
18,0.9806045889854431,0.052874606102705,0.9550288915634155,0.1693357676267624
19,0.9799839854240417,0.058212440460920334,0.9561538100242615,0.1538245528936386
20,0.9848974347114563,0.042388901114463806,0.9531281590461731,0.1747908592224121
