Epoch 1: Accuracy=0.8747058510780334, Loss=0.4093915522098541, Val Accuracy=0.9131028056144714, Val Loss=0.2538408935070038
Epoch 2: Accuracy=0.9209961295127869, Loss=0.23575277626514435, Val Accuracy=0.9250890612602234, Val Loss=0.2217268943786621
Epoch 3: Accuracy=0.9331764578819275, Loss=0.19517460465431213, Val Accuracy=0.9246817827224731, Val Loss=0.2179884910583496
Epoch 4: Accuracy=0.9422534704208374, Loss=0.16645072400569916, Val Accuracy=0.9393704533576965, Val Loss=0.17913596332073212
Epoch 5: Accuracy=0.9479169249534607, Loss=0.14727145433425903, Val Accuracy=0.9434434175491333, Val Loss=0.16476693749427795
Epoch 6: Accuracy=0.9531407356262207, Loss=0.13446541130542755, Val Accuracy=0.942965030670166, Val Loss=0.1699172705411911
Epoch 7: Accuracy=0.9585973024368286, Loss=0.11759376525878906, Val Accuracy=0.947762131690979, Val Loss=0.15240803360939026
Epoch 8: Accuracy=0.9617781639099121, Loss=0.10738116502761841, Val Accuracy=0.9411935806274414, Val Loss=0.17859281599521637
Epoch 9: Accuracy=0.9641314744949341, Loss=0.10273972898721695, Val Accuracy=0.9405664801597595, Val Loss=0.18384139239788055
Epoch 10: Accuracy=0.967519223690033, Loss=0.09212860465049744, Val Accuracy=0.9436179995536804, Val Loss=0.17622429132461548
Epoch 11: Accuracy=0.9695104360580444, Loss=0.08678115159273148, Val Accuracy=0.9465984106063843, Val Loss=0.16263118386268616
Epoch 12: Accuracy=0.9705707430839539, Loss=0.07919833064079285, Val Accuracy=0.9471673369407654, Val Loss=0.18248195946216583
Epoch 13: Accuracy=0.974863588809967, Loss=0.07024010270833969, Val Accuracy=0.952669084072113, Val Loss=0.15324780344963074
Epoch 14: Accuracy=0.9749411940574646, Loss=0.0677550733089447, Val Accuracy=0.9519385695457458, Val Loss=0.16130442917346954
Epoch 15: Accuracy=0.9776048064231873, Loss=0.06411085277795792, Val Accuracy=0.9503417015075684, Val Loss=0.17448966205120087
Epoch 16: Accuracy=0.9772944450378418, Loss=0.063520647585392, Val Accuracy=0.9540073871612549, Val Loss=0.15533408522605896
Epoch 17: Accuracy=0.9798287749290466, Loss=0.05739472806453705, Val Accuracy=0.9507425427436829, Val Loss=0.17249493300914764
Epoch 18: Accuracy=0.9806045889854431, Loss=0.052874606102705, Val Accuracy=0.9550288915634155, Val Loss=0.1693357676267624
Epoch 19: Accuracy=0.9799839854240417, Loss=0.058212440460920334, Val Accuracy=0.9561538100242615, Val Loss=0.1538245528936386
Epoch 20: Accuracy=0.9848974347114563, Loss=0.042388901114463806, Val Accuracy=0.9531281590461731, Val Loss=0.1747908592224121
