Epoch 1: Accuracy=0.8601716160774231, Loss=0.4293905198574066, Val Accuracy=0.9038267135620117, Val Loss=0.2832682132720947
Epoch 2: Accuracy=0.918145477771759, Loss=0.24017035961151123, Val Accuracy=0.9157573580741882, Val Loss=0.2399485856294632
Epoch 3: Accuracy=0.9309983253479004, Loss=0.19501443207263947, Val Accuracy=0.9240670800209045, Val Loss=0.2266835868358612
Epoch 4: Accuracy=0.9415602087974548, Loss=0.16783295571804047, Val Accuracy=0.9336970448493958, Val Loss=0.19331113994121552
Epoch 5: Accuracy=0.9471129775047302, Loss=0.1475827544927597, Val Accuracy=0.9378033876419067, Val Loss=0.1837151199579239
Epoch 6: Accuracy=0.9541412591934204, Loss=0.130201056599617, Val Accuracy=0.9395798444747925, Val Loss=0.18030044436454773
Epoch 7: Accuracy=0.9583349227905273, Loss=0.12054400146007538, Val Accuracy=0.9371917843818665, Val Loss=0.18841412663459778
Epoch 8: Accuracy=0.9596551656723022, Loss=0.1140836551785469, Val Accuracy=0.9368908405303955, Val Loss=0.20137986540794373
Epoch 9: Accuracy=0.9638876914978027, Loss=0.10172467678785324, Val Accuracy=0.9408806562423706, Val Loss=0.17752428352832794
Epoch 10: Accuracy=0.9680037498474121, Loss=0.08856535702943802, Val Accuracy=0.9374538660049438, Val Loss=0.20588567852973938
Epoch 11: Accuracy=0.9676154255867004, Loss=0.08895178884267807, Val Accuracy=0.941608726978302, Val Loss=0.18674986064434052
Epoch 12: Accuracy=0.9730905294418335, Loss=0.07398848980665207, Val Accuracy=0.9471809267997742, Val Loss=0.17498531937599182
Epoch 13: Accuracy=0.973750650882721, Loss=0.07155115902423859, Val Accuracy=0.9426377415657043, Val Loss=0.19744716584682465
Epoch 14: Accuracy=0.9732069969177246, Loss=0.0742567926645279, Val Accuracy=0.9450937509536743, Val Loss=0.18475964665412903
Epoch 15: Accuracy=0.9775559902191162, Loss=0.06424200534820557, Val Accuracy=0.9407544732093811, Val Loss=0.20299474895000458
Epoch 16: Accuracy=0.9783714413642883, Loss=0.059007205069065094, Val Accuracy=0.9421426653862, Val Loss=0.20987066626548767
Epoch 17: Accuracy=0.9827204346656799, Loss=0.05070793256163597, Val Accuracy=0.9448899030685425, Val Loss=0.20152227580547333
Epoch 18: Accuracy=0.9803906083106995, Loss=0.05329139158129692, Val Accuracy=0.9482876062393188, Val Loss=0.18887415528297424
Epoch 19: Accuracy=0.9803129434585571, Loss=0.053868457674980164, Val Accuracy=0.9488603472709656, Val Loss=0.20626744627952576
Epoch 20: Accuracy=0.9822933077812195, Loss=0.050487615168094635, Val Accuracy=0.9432881474494934, Val Loss=0.2124265432357788
