Epoch 1: Accuracy=0.883329451084137, Loss=0.3765934407711029, Val Accuracy=0.9470515847206116, Val Loss=0.1468614786863327
Epoch 2: Accuracy=0.961421549320221, Loss=0.11135546863079071, Val Accuracy=0.9589152932167053, Val Loss=0.11171723157167435
Epoch 3: Accuracy=0.9696048498153687, Loss=0.0775231420993805, Val Accuracy=0.968441367149353, Val Loss=0.09837452322244644
Epoch 4: Accuracy=0.9794248342514038, Loss=0.05433838814496994, Val Accuracy=0.9648764133453369, Val Loss=0.10169247537851334
Epoch 5: Accuracy=0.9862052798271179, Loss=0.04129873588681221, Val Accuracy=0.9668633937835693, Val Loss=0.1010524332523346
Epoch 6: Accuracy=0.9862052798271179, Loss=0.035672735422849655, Val Accuracy=0.9712465405464172, Val Loss=0.089751236140728
Epoch 7: Accuracy=0.9920505285263062, Loss=0.02334432303905487, Val Accuracy=0.9708374738693237, Val Loss=0.09562147408723831
Epoch 8: Accuracy=0.9906476736068726, Loss=0.025895196944475174, Val Accuracy=0.9767985343933105, Val Loss=0.07412407547235489
Epoch 9: Accuracy=0.9922842979431152, Loss=0.022978780791163445, Val Accuracy=0.9781427383422852, Val Loss=0.0789499282836914
Epoch 10: Accuracy=0.9925181269645691, Loss=0.01955588534474373, Val Accuracy=0.9752790331840515, Val Loss=0.08807004243135452
Epoch 11: Accuracy=0.9932195544242859, Loss=0.01723729819059372, Val Accuracy=0.9723569750785828, Val Loss=0.10204622149467468
Epoch 12: Accuracy=0.9934533834457397, Loss=0.018564023077487946, Val Accuracy=0.9742271304130554, Val Loss=0.08655419200658798
Epoch 13: Accuracy=0.9950900077819824, Loss=0.012733426876366138, Val Accuracy=0.9773245453834534, Val Loss=0.08459934592247009
Epoch 14: Accuracy=0.9922842979431152, Loss=0.022277258336544037, Val Accuracy=0.9707790017127991, Val Loss=0.11202051490545273
Epoch 15: Accuracy=0.9939209818840027, Loss=0.024984536692500114, Val Accuracy=0.9748115539550781, Val Loss=0.08873381465673447
Epoch 16: Accuracy=0.9943885803222656, Loss=0.01616266742348671, Val Accuracy=0.9750452637672424, Val Loss=0.09232807904481888
Epoch 17: Accuracy=0.9943885803222656, Loss=0.01751505210995674, Val Accuracy=0.9680907130241394, Val Loss=0.12477349489927292
Epoch 18: Accuracy=0.9932195544242859, Loss=0.019419658929109573, Val Accuracy=0.9762141108512878, Val Loss=0.08782918006181717
Epoch 19: Accuracy=0.9983633160591125, Loss=0.007251088507473469, Val Accuracy=0.9698439836502075, Val Loss=0.12390363961458206
Epoch 20: Accuracy=0.9974281191825867, Loss=0.009608072228729725, Val Accuracy=0.9788440465927124, Val Loss=0.08381099253892899
