Epoch 1: Accuracy=0.911308228969574, Loss=0.2805538475513458, Val Accuracy=0.9580639004707336, Val Loss=0.1264670044183731
Epoch 2: Accuracy=0.9661862254142761, Loss=0.08526614308357239, Val Accuracy=0.9772307276725769, Val Loss=0.061952143907547
Epoch 3: Accuracy=0.975055456161499, Loss=0.06543103605508804, Val Accuracy=0.9718270897865295, Val Loss=0.06753429025411606
Epoch 4: Accuracy=0.9800443649291992, Loss=0.051235832273960114, Val Accuracy=0.9785701036453247, Val Loss=0.05512377619743347
Epoch 5: Accuracy=0.9794900417327881, Loss=0.0540819987654686, Val Accuracy=0.9648993015289307, Val Loss=0.0810692235827446
Epoch 6: Accuracy=0.9835550785064697, Loss=0.044621482491493225, Val Accuracy=0.9830500483512878, Val Loss=0.04478491470217705
Epoch 7: Accuracy=0.9852180480957031, Loss=0.03435075283050537, Val Accuracy=0.9736282825469971, Val Loss=0.06899479031562805
Epoch 8: Accuracy=0.9854028224945068, Loss=0.040687885135412216, Val Accuracy=0.9825882315635681, Val Loss=0.04790283739566803
Epoch 9: Accuracy=0.9894678592681885, Loss=0.029897617176175117, Val Accuracy=0.9834195375442505, Val Loss=0.04240059852600098
Epoch 10: Accuracy=0.9896526336669922, Loss=0.027382001280784607, Val Accuracy=0.9842509031295776, Val Loss=0.04297446832060814
Epoch 11: Accuracy=0.9915003776550293, Loss=0.02529560774564743, Val Accuracy=0.9874376654624939, Val Loss=0.035936854779720306
Epoch 12: Accuracy=0.9889135360717773, Loss=0.028485171496868134, Val Accuracy=0.9848513007164001, Val Loss=0.041659604758024216
Epoch 13: Accuracy=0.9902069568634033, Loss=0.028045572340488434, Val Accuracy=0.9830500483512878, Val Loss=0.045200541615486145
Epoch 14: Accuracy=0.9881744384765625, Loss=0.029473574832081795, Val Accuracy=0.988407552242279, Val Loss=0.033137258142232895
Epoch 15: Accuracy=0.9946415424346924, Loss=0.017858240753412247, Val Accuracy=0.98845374584198, Val Loss=0.03508814424276352
Epoch 16: Accuracy=0.9909460544586182, Loss=0.022112388163805008, Val Accuracy=0.9874838590621948, Val Loss=0.03575797379016876
Epoch 17: Accuracy=0.9935328960418701, Loss=0.01730472221970558, Val Accuracy=0.9884998798370361, Val Loss=0.03510458767414093
Epoch 18: Accuracy=0.9918699264526367, Loss=0.02136780321598053, Val Accuracy=0.9878071546554565, Val Loss=0.034647732973098755
Epoch 19: Accuracy=0.9964892864227295, Loss=0.010616320185363293, Val Accuracy=0.98845374584198, Val Loss=0.03216240555047989
Epoch 20: Accuracy=0.9963045120239258, Loss=0.011708991602063179, Val Accuracy=0.9860982894897461, Val Loss=0.0448574498295784
