Epoch 1: Accuracy=0.9567979574203491, Loss=0.15649409592151642, Val Accuracy=0.9533224105834961, Val Loss=0.18940557539463043
Epoch 2: Accuracy=0.9682338237762451, Loss=0.09411869943141937, Val Accuracy=0.9747287034988403, Val Loss=0.1151060089468956
Epoch 3: Accuracy=0.9796696305274963, Loss=0.05932626873254776, Val Accuracy=0.9664040207862854, Val Loss=0.15769249200820923
Epoch 4: Accuracy=0.9923760890960693, Loss=0.03181144967675209, Val Accuracy=0.9467816352844238, Val Loss=0.2958473265171051
Epoch 5: Accuracy=0.9796696305274963, Loss=0.12195293605327606, Val Accuracy=0.9513899087905884, Val Loss=0.25864747166633606
Epoch 6: Accuracy=0.9949173927307129, Loss=0.024110285565257072, Val Accuracy=0.9736881256103516, Val Loss=0.14202910661697388
Epoch 7: Accuracy=1.0, Loss=0.005586412735283375, Val Accuracy=0.9759179353713989, Val Loss=0.13239271938800812
Epoch 8: Accuracy=0.9987293481826782, Loss=0.005637843627482653, Val Accuracy=0.9823101162910461, Val Loss=0.1210685595870018
Epoch 9: Accuracy=1.0, Loss=0.0016449838876724243, Val Accuracy=0.9827560782432556, Val Loss=0.11861338466405869
Epoch 10: Accuracy=1.0, Loss=0.0008798413327895105, Val Accuracy=0.9829047322273254, Val Loss=0.1180126741528511
Epoch 11: Accuracy=1.0, Loss=0.0007688743062317371, Val Accuracy=0.9829047322273254, Val Loss=0.11808162182569504
Epoch 12: Accuracy=1.0, Loss=0.0006330005126073956, Val Accuracy=0.9836480021476746, Val Loss=0.1175946369767189
Epoch 13: Accuracy=1.0, Loss=0.0005466785514727235, Val Accuracy=0.9834993481636047, Val Loss=0.11803892254829407
Epoch 14: Accuracy=1.0, Loss=0.0004675887757912278, Val Accuracy=0.9837966561317444, Val Loss=0.11828972399234772
Epoch 15: Accuracy=1.0, Loss=0.00046152339200489223, Val Accuracy=0.9837966561317444, Val Loss=0.11868806183338165
Epoch 16: Accuracy=1.0, Loss=0.00040347292087972164, Val Accuracy=0.984093964099884, Val Loss=0.1188436895608902
Epoch 17: Accuracy=1.0, Loss=0.0003910871164407581, Val Accuracy=0.984093964099884, Val Loss=0.11915138363838196
Epoch 18: Accuracy=1.0, Loss=0.000355025491444394, Val Accuracy=0.9842426180839539, Val Loss=0.11947892606258392
Epoch 19: Accuracy=1.0, Loss=0.00035527406726032495, Val Accuracy=0.9842426180839539, Val Loss=0.11978891491889954
Epoch 20: Accuracy=1.0, Loss=0.00034917693119496107, Val Accuracy=0.9842426180839539, Val Loss=0.12015155702829361
