Epoch 1: Accuracy=0.876050591468811, Loss=0.3852737545967102, Val Accuracy=0.9069544672966003, Val Loss=0.26990222930908203
Epoch 2: Accuracy=0.9225736260414124, Loss=0.22383573651313782, Val Accuracy=0.9219470024108887, Val Loss=0.21979613602161407
Epoch 3: Accuracy=0.9374175667762756, Loss=0.18199466168880463, Val Accuracy=0.9358534216880798, Val Loss=0.1854812353849411
Epoch 4: Accuracy=0.9455894827842712, Loss=0.15727591514587402, Val Accuracy=0.9413487315177917, Val Loss=0.17145778238773346
Epoch 5: Accuracy=0.9497271776199341, Loss=0.14300857484340668, Val Accuracy=0.9404500722885132, Val Loss=0.17117324471473694
Epoch 6: Accuracy=0.9555457830429077, Loss=0.12686319649219513, Val Accuracy=0.9442968368530273, Val Loss=0.1668737530708313
Epoch 7: Accuracy=0.9609764814376831, Loss=0.11173709481954575, Val Accuracy=0.9489322900772095, Val Loss=0.15511749684810638
Epoch 8: Accuracy=0.9640280604362488, Loss=0.10503062605857849, Val Accuracy=0.9504257440567017, Val Loss=0.14610140025615692
Epoch 9: Accuracy=0.9667950868606567, Loss=0.0934002548456192, Val Accuracy=0.9487060308456421, Val Loss=0.15863212943077087
Epoch 10: Accuracy=0.968320906162262, Loss=0.08913862705230713, Val Accuracy=0.9463397860527039, Val Loss=0.16930457949638367
Epoch 11: Accuracy=0.971139669418335, Loss=0.0804382711648941, Val Accuracy=0.950225293636322, Val Loss=0.15472842752933502
Epoch 12: Accuracy=0.9731050729751587, Loss=0.07636754959821701, Val Accuracy=0.9510011076927185, Val Loss=0.15547128021717072
Epoch 13: Accuracy=0.975665271282196, Loss=0.06711773574352264, Val Accuracy=0.9448269605636597, Val Loss=0.1742766946554184
Epoch 14: Accuracy=0.9761307239532471, Loss=0.06706885993480682, Val Accuracy=0.9548413753509521, Val Loss=0.1485714167356491
Epoch 15: Accuracy=0.9773979187011719, Loss=0.06255671381950378, Val Accuracy=0.9496757984161377, Val Loss=0.16960352659225464
Epoch 16: Accuracy=0.9795960783958435, Loss=0.05678322911262512, Val Accuracy=0.954595685005188, Val Loss=0.1577225774526596
Epoch 17: Accuracy=0.9812511205673218, Loss=0.051698315888643265, Val Accuracy=0.950632631778717, Val Loss=0.1755695790052414
Epoch 18: Accuracy=0.9807597994804382, Loss=0.05558525025844574, Val Accuracy=0.9514407515525818, Val Loss=0.18074479699134827
Epoch 19: Accuracy=0.9832941293716431, Loss=0.04721693694591522, Val Accuracy=0.9523135423660278, Val Loss=0.18015015125274658
Epoch 20: Accuracy=0.9844061136245728, Loss=0.045375924557447433, Val Accuracy=0.9525656700134277, Val Loss=0.17836493253707886
